('WETH_renBTC', 'WBTC_WETH', 'WBTC_renBTC')
('WETH_ETHFI', 'USDC_ETHFI', 'USDC_WETH')
('USDC_AVINOC', 'USDT_AVINOC', 'USDC_USDT')
('USDC_ETHFI', 'USDC_WETH', 'WETH_ETHFI')
('WBTC_renBTC', 'WETH_renBTC', 'WBTC_WETH')
('WETH_USDT', 'USDC_USDT', 'USDC_WETH')
('WETH_USDT', 'USDT_COW', 'WETH_COW')
('WETH_FOLD', 'USDC_FOLD', 'USDC_WETH')
('DAI_USDT', 'WBTC_USDT', 'WBTC_DAI')
('USDC_WETH', 'WETH_ENS', 'USDC_ENS')
('USDC_WETH', 'WETH_EIGEN', 'USDC_EIGEN')
('USDC_FOLD', 'USDC_WETH', 'WETH_FOLD')
('DAI_FRAX', 'FRAX_USDC', 'DAI_USDC')
('WETH_AVINOC', 'USDC_AVINOC', 'USDC_WETH')
('FRAX_USDC', 'FRAX_UST', 'USDC_UST')
('USDT_TRU', 'WETH_TRU', 'WETH_USDT')
('WETH_USDT', 'WETH_TRU', 'USDT_TRU')
('USDC_GRT', 'WETH_GRT', 'USDC_WETH')
('WBTC_DAI', 'DAI_USDT', 'WBTC_USDT')
('WETH_USDT', 'WETH_ETHFI', 'USDT_ETHFI')
('WETH_USDT', 'WETH_COW', 'USDT_COW')
('WETH_ETHFI', 'USDC_WETH', 'USDC_ETHFI')
('WBTC_CRV', 'WBTC_WETH', 'WETH_CRV')
('WETH_wCFG', 'USDC_wCFG', 'USDC_WETH')
('WETH_cbBTC', 'USDC_cbBTC', 'USDC_WETH')
('WETH_USDT', 'USDT_AVINOC', 'WETH_AVINOC')
('WBTC_PEPE', 'WBTC_WETH', 'WETH_PEPE')
('WETH_AMPL', 'USDC_AMPL', 'USDC_WETH')
('WETH_AMP', 'USDC_WETH', 'USDC_AMP')
('WBTC_USDC', 'WBTC_USDT', 'USDC_USDT')
('WBTC_crvUSD', 'USDC_crvUSD', 'WBTC_USDC')
('USDC_WETH', 'WETH_COW', 'USDC_COW')
('USDC_WETH', 'WETH_RED', 'USDC_RED')
('WETH_COW', 'USDC_COW', 'USDC_WETH')
('WBTC_WETH', 'WBTC_EURT', 'WETH_EURT')
('WETH_PEPE', 'WBTC_PEPE', 'WBTC_WETH')
('USDC_WETH', 'WETH_ETHFI', 'USDC_ETHFI')
('USDC_USDT', 'USDC_USDf', 'USDT_USDf')
('USDT_SAITO', 'WETH_USDT', 'WETH_SAITO')
('USDC_TRIBE', 'USDC_WETH', 'WETH_TRIBE')
('WETH_USDT', 'USDT_SAITO', 'WETH_SAITO')
('WBTC_cbBTC', 'USDC_cbBTC', 'WBTC_USDC')
('USDT_COW', 'USDC_USDT', 'USDC_COW')
('USDC_COW', 'WETH_COW', 'USDC_WETH')
('USDC_USDT', 'USDT_COW', 'USDC_COW')
('WETH_WIGL', 'USDC_WIGL', 'USDC_WETH')
('DAI_USDS', 'DAI_USDC', 'USDC_USDS')
('DAI_WETH', 'DAI_USDT', 'WETH_USDT')
('USDC_ENS', 'USDC_WETH', 'WETH_ENS')
('WETH_FLEX', 'USDC_FLEX', 'USDC_WETH')
('WETH_SOL', 'WBTC_WETH', 'WBTC_SOL')
('USDT_ETHFI', 'USDC_USDT', 'USDC_ETHFI')
('WETH_SXT', 'USDT_SXT', 'WETH_USDT')
('WBTC_CRV', 'WBTC_USDC', 'USDC_CRV')
('WBTC_WETH', 'WBTC_CRV', 'WETH_CRV')
('USDC_COW', 'USDT_COW', 'USDC_USDT')
('DAI_AVINOC', 'USDT_AVINOC', 'DAI_USDT')
('USDC_USDT', 'USDT_USDf', 'USDC_USDf')
('USDC_USDT', 'DAI_USDT', 'DAI_USDC')
('USDC_CRV', 'WETH_CRV', 'USDC_WETH')
('WBTC_PEPE', 'WETH_PEPE', 'WBTC_WETH')
('DAI_USDT', 'DAI_FRAX', 'FRAX_USDT')
('USDC_AVINOC', 'DAI_USDC', 'DAI_AVINOC')
('USDC_wCFG', 'USDC_WETH', 'WETH_wCFG')
('USDT_SXT', 'WETH_USDT', 'WETH_SXT')
('USDC_WETH', 'WETH_FLEX', 'USDC_FLEX')
('WETH_AVINOC', 'DAI_WETH', 'DAI_AVINOC')
